text,Subjective,Ambiguous,Nonverifiable,Negative,Vague
Detailed specification of controller equipment and the interface between such equipment and the EIRENE network is at the discretion of the railway operator. (I),0,1,0,0,0
"It shall be possible to manually select Shunting from Stand By operation, Full Supervision operation or Partial Supervision operation",1,0,0,0,0
The FCP shall signal the start of each minor frame in all ICPs by means of a VMEbus IRQ5 interrupt.,0,0,0,0,1
"In particular, EIRENE equipment could interfere with: (I)",0,1,0,0,0
The user shall easily locate instructions while using the product. User help can be found within 90% of the system.,0,0,0,0,1
"The TCS shall provide automated TCS system information, control options, and logical & simple operator guidance and support for immediate and adaptive responding to crisis situations.",1,0,1,0,0
The functionality to enter and leave shunting mode shall not be available when there are on-going calls involving the Cab radio. (M),0,0,0,1,0
The mechanism for the generation of the link assurance signal shall be as specified in [MORANE SM FFFIS]. (M),0,1,0,0,0
It shall be possible to prevent a train from entering a route for which it does not meet the required criteria.,0,0,1,1,1
If acknowledgement is specified the driver shall acknowledge transfer from Full Supervision to Partial Supervision within 5 seconds,1,0,0,0,0
Other interfaces may take the form of additional audio and data inputs and outputs. (I),0,1,0,0,0
The system shall use symbols and words that are naturally understandable by the user community.,1,0,0,0,0
Mobile equipment shall function correctly when travelling at speeds from 0 km/h to,0,1,0,0,0
The languages to be supported will be a matter for each national railway to decide. (I),1,0,0,0,0
The FDIR shall execute CBIT during all operational phases.,0,0,0,0,1
Memory shall be categorized into congruent (identical data) and non-congruent (data that is not identical) memory.,0,0,0,1,0
TCS shall be capable of executing AV maintenance software and displaying appropriate status results.,0,1,1,0,0
"As an objective, the TCS shall support an automatic launch and recovery system.",0,0,1,0,0
The System must provide End User and Administrator functions which are easy to use and intuitive throughout.,1,0,0,0,0
Note: All other CT9 numbers are reserved for railway national fixed networks and systems.,0,1,0,0,0
There are a number of general constraints placed on the Gemini Software. These are:,0,1,0,0,0
The TCS software shall restrict the operator(s) from exercising levels of interaction not achievable by the system.,0,0,0,1,0
The specification is divided into the following separate sections: (I),0,1,0,0,0
The driver shall be able to terminate communications (voice or data) by selecting another call. (M) Forward calls to driver handheld,0,0,0,0,1
In Partial Supervision the train shall be supervised according to train speed and distance data available.,1,0,0,0,0
Draper shall not violate the 100 microseconds requirement.,0,0,0,1,0
The Operational radio shall be capable of withstanding the following shocks: (M),0,1,0,0,0
Higher data rates will be required by some data applications in order to provide the necessary performance and acceptable transmission times. (I),1,1,0,0,0
The product shall use a standard navigation menu familiar to most web users.,1,0,0,0,0
The TCS shall support a target location function where the operator can request the current ground location of the payload field-of-view center.,0,0,1,0,0
At this point the radio should be able to receive all calls initiated using the telephone number or appropriate group call number. (I),0,0,1,0,0
"The presence, or absence of, an NEFU ICP shall not impact the NE firmware (i.e., the NE firmware will not be different).",0,0,0,1,0
"The TCS shall be capable of automatically recording system state data, interface communications and other information necessary to support event reconstruction.",0,0,1,0,0
A special MMI action shall be required for a General purpose radio user to send a Railway emergency call. (M),0,0,1,0,0
Deactivating a group on the mobile shall prevent a user receiving calls from that group. (M),0,0,0,0,1
Voice transmission from direct mode equipment shall be possible only when the Push- To-Talk (PTT) button is pressed. (M),0,1,0,0,0
This decision shall be made based on the health and status of all the physical links from the FCP to the CTC.,0,0,0,0,1
Changing the battery shall not result in the loss of data stored in the radio. (M),0,0,0,1,0
