text,Subjective,Ambiguous,Nonverifiable,Negative,Vague
"Implementation of direct mode is optional. However, where implemented, the following requirements shall be mandatory. (I)",0,1,0,0,0
In the Normal Operations Mode the TCS shall support the following functions:,0,1,0,0,0
"When the current temperature value exceeds the current temperature setting by a pre -defined amount, the THEMAS system shall activate the appropriate heating or cooling unit.s",0,1,1,0,0
Displayed characters shall have a minimum height of 5mm. (M),0,1,0,0,0
"To meet growth requirements, the TCS shall be capable of adding additional storage without major hardware reconfiguration.",0,0,0,1,0
"If the system is not able to connect the call, an audible and visual indication shall be provided to the user. (M) Send Railway emergency call",0,0,1,0,0
The System must allow persistent defaults for data entry where desirable. These defaults should include:,1,0,0,0,0
"A list of articles outside the Get Real site including ""50 best jobs in America, Dream Jobs 2007, etc.",0,1,0,0,0
Short dialling codes shall start with the first digit equal to 1 (ie CT=1). (M),0,1,0,0,0
Marking links opening new windows: Links that open new browser windows or pop-up windows should be clearly marked.,1,1,0,0,0
"Easy to use interface for a Diplomacy novice, one that is useable and visually attractive",0,0,0,0,1
The SETUP and RELEASE COMPLETE user-to-user information element shall be as specified in the [MORANE UUIE]. (M),0,1,1,0,0
"The TCS shall support operation of the AV via all flight modes, to include manual controls.",0,0,1,0,1
EIRENE mobile equipment shall be capable of operating over a standard range of temperatures from -20°C to +55°C. (M),0,1,0,0,0
Activating a group on the mobile shall allow a user to receive a call from that group. (M),0,0,0,0,1
"The TCS shall facilitate Human-Computer Interfaces (HCIs) that support operation of all system modes, functions, and capabilities.",0,0,1,0,1
The utility timer shall shall be set to zero prior to the first application task running in the first minor frame of each major frame.,0,0,0,0,1
"1. If the broadcast option is used, each virtual group should open the pipe and read from it to avoid flow control problems.",0,0,0,0,1
All call related functions shall be possible with the handset on or off the hook. (M),1,0,0,0,0
"If any part of the call fails, an audible and visual indication shall be provided in the appropriate cab. (M)",1,0,1,0,0
"When a majority, but not a unanimity, of FCP members are observed with room in their input buffers, a time-out shall be initiated.",0,0,0,1,0
The logical architecture of the Operational radio is illustrated in figure 7-1. (I),0,1,0,0,0
The Operational radio should support direct mode communications as defined in section 15. (O),0,1,0,0,0
"The FTSS shall configure each FCP to perform IBIT Minimum Processing Environment (MPE) Tests, Power-up Tests, and Initial BIT on each FCP, as shown inTable 3.2-2..",0,0,0,0,1
Start Up shall test to ensure that all four FCPs are synchronized.,0,0,0,0,1
"In addition, the network shall support the special short codes as defined in table 9-11. (M)",0,1,0,0,0
Section 11 specifies functional and location dependent addressing. Section 12 refers to the possible use of pre-defined text messages (not required for interoperability). (I),0,1,0,1,0
All handheld mobile equipment shall be capable of withstanding the following shocks: (M),0,1,0,0,0
.25viii Automatic network selection shall not be used for international border crossing. (M),1,0,0,1,0
"If the call is a broadcast call, the user shall be informed that he cannot speak as part of the broadcast call. (M)",1,0,0,0,0
Hardware constraints are covered in the individual chapters the Software Design Description.,0,1,0,0,0
providing customers and sales agents fast access to up-to-date and accurate product information and whitepapers.,1,0,0,0,0
"The driver shall have the possibility to select the language, this does not concern non pre-defined texts sent from the trackside.",1,0,0,1,1
There are no special software interface requirements,0,1,0,1,0
The telemetry capability shall provide status data to FTSS FDI about each FCC-MPCC link to the CTC.,0,0,0,0,1
"Being in itself a distributed telescope system and having a large number of instruments, the Gemini 8m Telescopes system has internal communication needs.",0,1,0,0,0
Any equipment mounted external to the train cab shall withstand the following additional physical conditions: (M),0,1,0,0,0
The MMI shall be suitable for use by day and night. (O),1,0,1,0,0
The support solution should be accessible to the users both from within the application and also outside the application through a browser interface.,1,0,0,0,0
"In the presence of a maximum 2.5 second power-on skew, the FTPP system shall be capable of completing FCC system power-up and initialization without synchronization errors.",0,0,1,1,0
The Scheduler shall place processing time bounds on all rate groups to ensure that no rate group monopolizes the FCC's processor.,0,0,0,0,1
"When a TAN is used, it expires automatically and can never be used again.",0,1,0,0,0
Save the current game.,0,1,0,0,0
The NE shall support at least two physical processors per FCR.,0,0,1,0,1
The system shall automatically compress image files that are too large in size.,0,0,1,0,0
"There shall be no discrepancy between the speed shown to the driver and the speed used for supervision of movement authorities and speed limits, function",1,0,1,0,0
The scheduler shall issue the 50 Hz interrupt to all the ICPs with a skew no greater than 330 microseconds.,0,0,0,0,1
This help page should be accessible from all other pages.,0,0,0,0,1
The following data may be entered manually by the driver provided by external sources:,1,0,0,0,0
The text message facility shall not interfere with the ability of users to use the radio. (M),0,0,0,1,0
The driver of the previously registered train shall be informed (by audible and visual indications) that his train number has been overridden by another driver. (M),0,0,1,0,1
If the leads score falls within the high average score then it will be process by the ARA functionality.,0,1,0,0,0
The documentation shall contain sufficient technical detail to define the hardware and software design implemented to satisfy the system requirements.,0,0,1,0,0
The mean time to download and view and whitepaper in PDF format for a 56Kbps modem shall not exceed x seconds.,0,0,0,1,0
"When changing to a lower speed level, the front end of the train shall respect the dynamic train speed profile.",1,0,0,0,0
A driver shall be able to initiate the establishment of a call to other drivers with a minimum of action (eg a single keystroke). (M),0,1,0,0,0
Direct mode equipment shall have a maximum transmit power of 1 Watt. (M),0,1,0,0,0
"The General purpose radio shall operate as a standard GSM terminal, supplying mobile services as defined in section 4. (M)",0,1,0,0,0
RAM scrub shall actively trigger the EDAC function by cyclically reading (and writing back if an error is found) all used RAM.,0,0,0,0,1
Privileges and protections are also important parameters to deﬁne user operations.,0,1,0,0,0
"If track data at least to the location where the relevant movement authority ends are not available on-board, the movement authority shall be rejected.",0,0,0,1,0
"The documentation developed shall contain sufficient level of detail to identify the functional, operational and design requirements of the TCS.",0,0,1,0,0
The THEMAS system shall only respond to temperatures from the thermostats that are within the specified valid range.,0,1,0,0,0
During this period the user shall be provided with an audible and visual indication that the system is trying to connect the call. (M),0,0,0,0,1
New game board display.,0,1,0,0,0
The TCS shall support a LOS data link and SATCOM data link capability.,0,0,1,0,0
The operator shall have the capability to command the system to the Shutdown State from all modes under the Operations State.,0,0,0,0,1
The system shall prompt customer with friend easy to read error messages.,1,0,0,0,0
Controls shall be designed such that they are suitable for use by people wearing gloves. (M),0,0,1,0,0
An audible and visual indication of an incoming call shall be provided. (M),0,0,1,0,0
Continuous BIT shall exercise the presence test at 50 Hz to ensure that all processors in the FCP virtual group are synchronized.,0,0,0,0,1
The system shall provide charts for the Activity or Event actual versus assumed time.,0,0,1,0,0
The user shall be able to save data after creating/adding a new user or cancel data to abort the process.,0,1,0,0,0
The scheduler shall support up to 5 vehicle modes.,0,0,1,0,0
The product must count and display the number of the user' asction.,0,0,0,0,1
"Intentional powering down of an FCP, ICP, or NE shall not be classified as a fault.",0,0,0,1,0
The General purpose radio shall comply with the core climatic conditions defined in section 4. (M),0,1,0,0,0
"RAM scrub shall be capable of scrubbing at least 10 megabytes every 8 minutes, given at least 1% of the CPU is available for this processing.",0,0,0,0,1
Figure 5-1 shows the logical architecture of an EIRENE Cab radio. The architecture comprises the following elements: (I),0,1,0,0,0
The system shall generate a standard confirmation message after saving data and warning/caution messages after the cancel or close button is clicked.,0,1,0,0,0
Each short dialling code shall consist of four digits. (M),0,1,0,0,0
"At the detailed level, different controllers may have specific addressing needs, eg catering controllers will need to call specific vehicles in a train. (I)",1,0,0,0,0
Users able to playing more than one game at a time,0,0,0,0,1
The system must support multiple types of communication services for remote access,0,0,1,0,0
"When operating with location dependent addressing, no manual action shall be required to update the system when a mobile moves between locations. (M)",0,1,0,0,0
"Where other data interfaces are implemented, they should be of the RS422 standard. (O)",0,1,0,0,0
The audit report shall include the number of available recycled parts from the original search results.,1,0,1,0,0
The website shall be attractive to all audiences. The website shall appear to be fun and the colors should be bright and vibrant.,1,0,0,0,0
"If a message is safety related, the safety mechanisms will be included at the application level and do not concern the EIRENE system. (I)",0,1,0,1,0
The driver can not speak in a group call until permission is granted by the network after pushing the PTT button. (I),0,0,0,1,0
Such tests shall not prevent calls. (M),0,0,0,1,0
The MET shall be able to increment to at least 30 days without rolling over.,0,0,0,1,1
The system shall allow a user to make public emergency point-to-point voice calls. (M),1,0,0,0,0
TCS shall be capable of executing payload maintenance software and displaying appropriate status results.,0,1,1,0,0
It shall be possible for the driver to find and display stored numbers and their information. (M),0,0,1,0,0
Rreports must be easy to generate. eports must be generated within one button click and exported within one button click (after selecting the report),1,0,0,0,0
"The TCS shall be capable of entering DII-COE compliant (C4I) networks. Network interoperability will include, but not be limited to:",0,0,0,1,0
IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies.,1,0,1,0,0
The product shall able to handle a large number of games simultaneously.,0,1,0,0,0
A standard data interface should be provided to allow a computer to be connected to the radio. (O),1,0,1,0,0
"Sections 13 to 15 describe the implementation of emergency calls, shunting mode and direct mode. (I)",0,1,0,0,0
"Using risk assessment procedures defined in DoD 5200.28(D), a risk index and the minimum security requirements for TCS shall be determined.",0,0,1,0,0
Note: the R-GSM band includes the Public GSM (P-GSM) and Extended GSM (E-GSM) bands.,0,1,0,0,0
"When the mobile changes network automatically, a visual and audible indication shall be given. (M)",0,0,1,0,0
The network shall support data rates of at least 2.4 kbit/s. (M),0,1,0,0,0
"Of the 9 Megabytes of DRAM allocation, only 4 Megabytes of FTSS/VxWork's DRAM shall be re-aligned during any re-alignment attempts.",0,0,0,0,1
"If a driver is disconnected from the multi-driver call, a clear indication shall be given. (M)",1,0,1,0,0
"Each investigation subject may be associated with exposure contacts, including unambiguous links to contacts in other jurisdictions.",0,1,0,0,0
Every Function shall be identified by a standard code and shall conform to the list of functions given in Appendix 9A of this section. (M),0,1,0,0,0
"Where pre-emption occurs, an advisory indication may be provided to the pre-empted parties. (O)",1,0,1,0,0
"The system shall log errors, warnings, and informational messages to an external log file on the application server.",0,1,0,0,0
A TCS support and fielding package shall be developed and available for operational testing.,0,0,1,0,0
"Standard interfaces to the control electronics shall be available, in the form of:",0,1,0,0,0
"The TCS shall provide the capability to pass control of an AV to another TCS, and receive control of an AV from another TCS.",0,0,0,0,1
Battery requirements shall be met based on full power during transmission and assuming hourly periodic location updating. (M),0,1,1,0,0
The Project Team must perform applicable and appropriate testing against new functionality prior to releasing that functionality/build to the production environment.,0,1,1,0,0
The system shall be easy to migrate or backed up via another usb drive.,1,0,0,0,0
"Upon activation of this function, the Cab radio shall provide the driver with a list of generic staff, eg: (M)",0,0,0,0,1
The ceiling speed level for the movement authority shall be defined as data National Value.,1,0,0,0,0
National EIRENE Numbers are used to set up calls within a single GSM-R network. (I),0,1,0,0,0
"The Scheduler shall support three rate groups: 50 Hz (minor frame), 10 Hz (medium frame), and 1 Hz (major frame).",0,0,1,0,0
The confirmation message shall be received at the central location with a 99% probability of success within 5 minutes of call termination. (M),1,0,0,0,0
The Operational radio shall be of a rugged design suitable for use in the railway environment by operational railway personnel. (M),1,0,0,0,0
"If contact with the mobile radio network is lost, then the Cab radio shall give an audible and visual indication. (M)",0,0,1,0,0
It shall be possible to initiate outgoing voice calls in one of four ways depending on the intended recipient(s) of the call: (M),0,1,0,0,0
A standard data interface between the mobile and the application module shall be provided. (M),1,0,0,0,0
The Technical Lead shall perform code reviews of every system change before those changes may be committed to source control.,0,1,0,0,0
98% of the user workstations shall meet the minimum hardware requirements prior to implementation. Minimum Hard Disk Space,0,1,0,0,0
The interface shall be appealing to callers and supervisors. In the interface and usability survey 80% of beta testers must report that the interface is appealing.,1,0,0,0,0
The system shall have a professional appearance,1,0,0,0,0
A special indication shall be shown on the DMI.,1,0,1,0,0
The EIRENE system shall enable users to originate and receive calls by functional number. (M),0,1,0,0,0
In the last case they will use a remote User interface to submit commands to the Gemini 8m Telescopes scheduler at the Gemini 8m Telescopes site.,0,1,0,0,0
The system shall be built such that it is as secure as possible from malicious interference.,0,0,1,0,0
"The National EIRENE Number shall consist of three distinct parts, as shown in figure 9-1: (M)",0,1,0,0,0
The Cab radio shall be capable of operating within a temperature range of -20°C to +70°C. (M),0,1,0,0,0
The logical architecture of an EIRENE mobile station (EIRENE MS) is shown in figure 4-1. The architecture consists of the following elements: (I),0,1,0,0,0
.25ii The Cab radio should be capable of selecting the mobile radio network as directed by input from an external device (eg a balise). (O),1,0,0,0,0
Note: The Adaptive Multi-Rate (AMR) CODEC is not suitable for voice group calls or for voice broadcast calls. (I),0,1,1,1,0
"The FDIR shall be able to identify a fault source, at least to an FCR.",0,0,0,0,1
"Where text messaging is implemented in the network, the Short Message Service (SMS) shall be used. (M)",0,1,0,0,0
"If shunting mode is implemented, a means to enter and leave shunting mode shall be provided. (M)",1,0,0,0,0
"The train shall leave Partial Supervision when the trainborne equipment is not operative any longer, when Shunting is selected or when Full Supervision is available.",1,0,0,0,0
Every On-Engine Function shall be identified by a standard code and shall conform to the list of functions given in Appendix 9A of this section. (M),0,1,0,0,0
The train shall have the capability of being supervised to a ceiling speed.,1,0,0,0,0
"Based on all relevant data, the ETCS shall calculate an emergency braking curve and a service braking curve",1,0,0,0,0
After the acknowledgement the train shall be able to be driven backwards for a certain distance defined by national value,1,0,0,0,0
"Whilst automatic network selection is enabled, the MMI shall display an indication. (M)",0,1,0,0,0
"The useful operating service life shall be a minimum of 30,000 hours.",0,0,1,0,0
Equipment is to be capable of operation in the following frequency bands: (I),0,1,0,0,0
ETCS shall calculate the permitted speed for the train for all locations of the authorised movement.,1,0,0,0,0
The TCS shall have sufficient throughput to support the processing requirements of the selected data link.,1,1,0,0,0
The Mean Time Between Failures (MTBF) must be at least 300 hours.,0,0,0,0,1
"In a group call, a visual indication shall be provided to remind the user of the need to use the PTT function. (M)",0,0,1,0,0
Automatic self-testing of the radio shall use the GSM IMSI attach procedure. (M),0,1,0,0,0
The target distance shall not be shown on the DMI unless selected by the driver.,0,0,0,1,0
"Regardless of application, the Gemini software exhibits numerous common attributes. These attributes are described in this section.",0,1,0,0,0
Memory Management software shall include (but not be limited to) memory scrubbing and memory realignment.,0,0,0,1,0
The user shall be prevented from entering direct mode if the GSM service is available. (M),0,1,0,0,0
Such emergency calls include 112 calls and may not be used for railway emergencies. (I) Broadcast voice calls,1,0,0,1,0
"For group or broadcast calls, a means to leave the call without terminating the call shall be provided. (M) Receive text messages",1,0,0,0,0
There must be entries in the database in order for them to be printed,0,0,0,0,1
"any of the other functions, in accordance with allowable operations as determined by the appropriate levels of interaction. [SSS040",0,0,0,0,1
The FTPP system shall not solely exceed these timing requirement budgets.,0,0,0,1,0
"The System must be able to display several entities (cases, suspects) simultaneously.",0,0,1,0,0
The operational tasks to be performed concurrently by the operator during normal operation will be determined by appropriate task analysis and function allocation.,1,0,0,0,0
The product shall generate a CMA report in an acceptable time.,0,0,1,0,0
The flight NE shall be capable of meeting all performance requirements specified herein during and after exposure to the environmental service conditions specified herein.,0,0,0,0,1
Every On-Train Function shall be identified by a standard code and shall conform to the list of functions given in Appendix 9A of this section. (M),0,1,0,0,0
The radio shall support at least ten different languages. (M) Adjust loudspeaker volume,0,0,1,0,0
"The TCS shall provide the functionality to control the power, transmitter signal strength, and frequencies used by ADT for data link communication.",0,1,0,0,0
The Cab radio system shall be able to receive incoming text messages (see section 12 for details). (M) Enter/leave shunting mode,0,0,1,0,0
The ceiling speed value for the unfitted operation is determined by the lower value out of,1,0,0,0,0
In order to find something in a group a word must be placed in the find field,1,0,0,0,0
ETCS shall provide the driver with information to allow him to drive the train safely.,1,0,0,0,0
Effective content delivery is ensured through SLA satisfaction.,1,0,1,0,0
A mobile may be a member of a number of groups. It shall be possible to activate or deactivate the mobiles subscription to these groups. (M),0,0,0,0,1
The NE shall support class 1 and class 2 bandwidth of at least 1 Mbyte/sec.,0,0,1,0,1
The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.,0,0,0,1,0
The user interfaces should be designed to make them user-intuitive.,1,0,0,0,0
The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,0,1,0,0,0
The roll away/reverse movement intervention shall be indicated on the DMI.,0,0,1,0,0
"Whilst on-going, a multi-drivers indication shall be displayed permanently at all Cab radios. (M)",0,0,1,0,0
The System must provide adequate response times for commonly performed functions under both standard and peak conditions,1,1,0,0,0
"For post incident analysis, the controller equipment should provide the possibility to record all operational speech and data calls. (O)",0,1,0,0,0
"When the timestamp counter reaches the maximum value (Hex FFFFFFFF or approximately 5500 seconds), it shall wrap around to zero.",0,0,1,0,0
"The system shall make whitepapers available from the product page. This will allow customers to answer product questions themselves, reducing customer support costs by $x annually.",0,0,1,0,0
The system shall be easy to learn,1,0,0,0,0
Frequency modulated equipment conforming to [ETS 300 086] shall be used for direct mode. (M),0,1,0,0,0
All TCS internal data decisions will be left to the design and the requirement specifications for system components.,0,1,0,0,0
The TCS shall be capable of receiving secondary HAE UAV payload imagery. Payload telemetry data shall be available to support other TCS functions as required.,0,0,1,0,0
A short audible and visual indication of the incoming call shall be provided. (M),1,0,1,0,0
Table 5A-2 in Appendix 5A shows the effect of replacing the handset or initiating the 'Call clear' procedure for the different types of outgoing calls. (M),0,1,0,0,0
"If no shunting group ID is activated, the operational radio shall initiate a ""regular shunting mode ON"" procedure as detailed in table 14-1. (M)",0,1,0,1,0
Time-outs in the scoreboard shall be aligned by resetting all time-outs.,0,0,0,0,1
The flight NE shall be non operating during the application of this vibration in all axes.,0,0,0,0,1
The train shall be able to automatically pass from one RBC area to another without driver intervention.,0,0,0,0,1
The NE shall support at least 6 virtual groups.,0,0,1,0,1
"The failed channel, provided it is recoverable, shall be recovered in less than 1.5 minutes.",0,0,0,0,1
"The presence test shall also ascertain that all processors are executing the same 50 Hz, 10 Hz, and 1 Hz frames.",0,0,0,0,1
The System must allow the user to limit access to cases to specified users or user groups.,1,0,0,0,0
Test points and data paths shall be defined to support efficient fault isolation.,1,0,1,0,0
Transferring to Full Supervision shall occur automatically when a movement authority and all other necessary information is received through track-to-train transmission.,1,0,0,0,0
The product shall be easy to learn by Adjusters and Collision Estimators. The product shall be learned with two days onsite training,1,0,0,0,0
All direct mode equipment shall provide the facility to broadcast an in-band audio shunting link assurance signal as defined in subsection of the [EIRENE FRS]. (M),0,1,0,0,0
The Cab radio should be capable of selecting the most appropriate mobile radio network automatically using the selection criteria stated in section 10.5. (O),0,1,1,0,0
Access to other GSM-R networks shall be possible by using a Breakout Code (BC) as part of the dialled number. (M),0,1,0,0,0
The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,1,0,0,0,0
The system shall log an error message to the external data file when the user is directed to the [SYSTEM NAME] error page.,0,1,0,0,0
The system shall display an error message if the new user is not active in the Active Directory.,0,0,0,1,0
The system shall utilize consistent symbols and colors for clear notifications.,1,0,1,0,0
EIRENE mobile equipment shall be capable of being subjected to both sinusoidal and random vibration. (M),0,1,0,0,0
"For consistent working on public networks and in international roaming, the use of access classes in a railway network shall comply with the GSM specification. (M)",0,1,0,0,0
The system will do periodic backups through a live internet connection.,1,0,0,0,0
It shall be possible to present radio related prompts and information in a number of different languages. (M),1,0,1,0,0
The use of engine/coach numbers to address trains shall not result in any ambiguities. (I),0,0,0,1,0
"On each FCP, the FTPP system shall configure the Radstone firmware to perform the IBIT tests shown in Table, FCP IBIT Table.",0,0,0,0,1
The THEMAS system shall ensure the temperature reported by a given thermostat shall not exceed a maximum deviation value of 3 degrees Fahrenheit.,0,1,0,1,0
The General purpose radio shall be suitable for use with a car adapter kit. (M),0,1,1,0,0
Track to train transmission shall provide the capability to send different speed profiles for specific train categories.,1,0,0,0,0
The SEP shall be able to increment to at least 1 day without rolling over.,0,0,0,1,1
The SEP shall be congruent across all FCP members.,0,0,0,0,1
The functions to which calls shall be routed based upon the location of the mobile shall include: (M),0,0,0,0,1
"The TCS shall have the functionality to monitor the status of all C4I interfaces, and display appropriate control information.",0,0,0,0,1
The Operational radio shall be suitable for use with a car adapter kit. (M),0,1,1,0,0
"The Simple Finish Window is closed. The statistic window is displayed, see chapter.",1,1,0,0,0
"Regardless of the status of an inactive instrument, it shall not be possible for any of its permitted actions to adversely impact the active instrument",0,1,0,1,0
"If the on-board has no valid national values for the current location, default values shall be used by the onboard equipment.",1,0,0,0,0
A means to override the currently registered train number shall be provided to the newly registering driver. (M),1,1,0,0,0
"In all ICP IBIT cases, provided the hardware state permits, the FTSS shall log the error and report it in the X-38 telemetry stream.",0,0,0,0,1
"The TCS shall display the AV status, to include but not be limited to the AV location and flight and avionics system status.",0,0,0,1,0
The system should ensure high standards of security and access control through:,1,0,0,0,0
The FTSS software shall provide the identical services in all vehicle modes.,0,0,0,0,1
"The General purpose radio should be small, compact and easy to carry. (I)",1,0,0,0,0
The TCS shall permit the operator to control the payload using all methods supported by the payload installed in the selected AV.,0,0,0,0,1
"For certain functions, standardised short codes shall be implemented for mobile originated calls. (M)",0,1,0,0,0
"The FTPP system shall configure the Radstone ICP/PMC1553 card to halt processing if any of the MPE tests, mentioned in Table, ICP/PMC1553 IBIT Table, fail.",0,0,0,0,1
"Partial Supervision shall be selected either by the Driver, or by information received from track-to-train transmission.",1,0,0,0,0
Stored numbers and other set-up details should be protected against accidental alteration. (O),0,0,1,0,0
Any equipment mounted inside the train cab shall be capable of withstanding the following maximum levels of sinusoidal vibration: (M),0,1,0,0,0
The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.,1,0,0,0,0
The following minimum values are recommended: (I),0,1,0,0,0
"All terminals shall ensure that when GSM-R services are available, the user is prevented from entering direct mode. (M)",0,1,0,0,0
The system should be built on a common User Access and Authentication Service to ensure Single-Sign on for the end-user,1,0,0,0,0
"Where necessary, a Train Interface Unit may be implemented to adapt on-train systems to the standard interfaces provided by the Cab radio. (I)",0,1,0,0,0
"The TCS shall be configurable for sea, ground, as well as air transport in 2 hours or less.",0,0,0,0,1
"It should be a goal, but not a requirement, that the interface provide support for",0,0,0,1,0
Direct mode channel 1 (876.0125 MHz) shall serve as the common access channel. (M),0,1,0,0,0
There are several means of transmitting commands and data across the Gemini system:,0,1,0,0,0
The EIRENE numbering plan shall be standardised to allow interoperability and shall be implemented as a private numbering plan within the GSM-R network. (M),0,1,0,0,0
All erroneous messages that cannot be corrected by TCS shall be flagged to the operator.,0,0,0,1,0
"Systems supporting OM should be capable of using configurable, domain-specific vocabulary.",0,1,0,0,0
This static train speed profile shall also respect maximum line speed and track speed and special speed levels for special classes of trains.,1,0,0,0,0
No specific mechanical requirements need to be placed upon the General purpose radio over and above those defined in section 4. (I),0,1,0,1,0
"In order to fulfil the requirements of some railways, it should be possible to provide an alternative means of link assurance indication. (O)",0,0,1,0,0
The system should be able to accommodate new products and product lines without major reengineering.,0,0,0,1,0
Cab radios shall provide a means of preventing tampering. (M) Service availability,1,0,0,0,0
"The System be scaleable and must not have any features which would preclude use in small or large police stations, with varying numbers of cases handled.",1,0,0,1,0
"Railway Emergency call confirmation messages shall be of eMLPP priority 4 - ""Railway information and all other calls"" (see section 10.2). (M)",0,1,0,0,0
There are existing policies for long-term peering arrangement.,0,0,1,0,0
If the onboard fails to contact the RBC when awakening the driver shall be asked to enter the RBC contact details,0,0,1,0,0
The use of the forced de-registration mechanism (without notification) to achieve this requirement is acceptable. (I),0,1,1,0,0
The Cab radio equipment shall be capable of withstanding the following changes to the main and backup power supplies without interrupting normal operation: (M),0,1,0,0,0
"All accesses to the control electronics hardware will be through VME IOC's, using the EPICS software. No other control interfaces are permitted.",0,1,0,1,1
The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,0,0,0,1,0
An automatic confirmation shall be generated by the Cab radio at the end of the Railway emergency call as detailed in section 13. (M),1,1,0,0,0
"The various types of data were presented earlier. This section examines the input, output, and interrelationships of the various data types.",0,1,0,0,0
The TCS shall provide the capability to log all incoming and outgoing formatted tactical messages.,0,0,0,0,1
A combination of visual and auditory outputs will be provided to alert the TCS operator to situations which may require operator response.,0,1,0,0,0
It is acceptable that mobiles which move out of the call area during the call be dropped from the call. (I),0,0,0,0,1
"The I/O channel reserve capability for each processor shall have at least a 50% reserve, addressable and useable, I/O channel capacity over any 10 second period.",0,0,0,0,1
The Command Read capability on each FCP shall read the command data received from each CTC via the FCC-MPCC.,0,0,0,0,1
"For each event that is generated, the THEMAS system shall identify each event and generate the appropriate event data.",0,1,1,0,0
Railways will require facilities to support the use of automatic test equipment with mobile radios. (I),1,0,1,0,0
The following commands are common to all IOC-based subsystems. (Most control subsystems are IOC-based.) These commands are processed by the IOC subsystem.,0,1,0,0,0
The TCS HCI shall provide for a rapid means to cancel aural warnings.,1,0,0,0,0
The system should support multi-tier authentication where required,0,0,1,0,0
The product shall be easy to use by Adjusters and Collision Estimators. 95% of Adjusters and Collision Estimators shall find the product easy to use.,1,0,0,0,0
"If no shunting group ID is activated, the Cab radio shall initiate a ""regular shunting mode ON"" procedure as shown in table 14-7. (M)",0,1,0,1,0
TCS shall be capable of executing data terminal maintenance software and displaying appropriate status results.,0,1,1,0,0
"The HCI shall provide redundancy in all operations, so that the loss of any one HCI input device does not prohibit operation of any TCS function.",0,0,0,1,1
The setting up and closing down of a multi-driver call shall be simplified using automation or guidance through the steps required. (M),1,0,1,0,0
This ceiling speed shall not be shown continually on the DMI but may be shown momentarily when selected by the driver.,1,0,0,0,0
"The TCS data latency shall not be greater than that present in the Predator ground control station or Outrider ground control station, whichever is smaller.",0,0,0,1,0
The driver shall then be prompted to select the train staff with which he wishes to communicate. (M),0,0,0,0,1
The number of block movement in incremented of 1. The difference of time of the block movement and the previous recorded time is recorded.,0,1,0,0,0
The website design should be modern clean and concise.,1,0,1,0,0
The Command Read capability shall check for the presence of a command and status message from each CTC on each FCC-MPCC at 10hz.,0,0,0,0,1
The interrupts across all channels shall have a skew no greater than 330 microseconds.,0,0,0,0,1
Direct mode communications will only be used in the event of normal GSM-R services being unavailable. (I),0,1,0,0,0
