Text,Subjective,Ambiguous,Nonverifiable,Negative,Vague
"
                The solution should send alerts (e.g., email, SMS) to the user if the user chooses to whenever any action has been taken on the alert.
            ",-,-,-,-,-
"
                The solution should enable the help-desk user to view the reports on the submitted defects or enhancement requests category-wise, status-wise, and age- wise.
            ",-,-,-,-,-
"
                The support solution should be accessible to the users both from within the application and also outside the application through a browser interface.
            ",outside,-,-,-,-
"
             Once the audit trail functionality has been activated, the System must track events without manual intervention, and store in the audit trail information about them.
            ",-,-,-,-,-
"
            The System must maintain the audit trail for as long as required, which will be at least for the life of the case to which it refers.
            ",long*refers,atleast,required,-,which*it
"
            The System must at a minimum be able to provide reports for actions on cases organised:
            ",-,-,-,-,-
"
            The System should be able to provide reports for actions on cases organised by workstation and (where technically appropriate) by network address.
            ",-,-,-,-,-
"
            The System must allow the user to limit access to cases to specified users or user groups.
            ",-,-,limit,-,-
"
            The system should provide for role-based control for the functionality within the system
            ",-,-,-,-,-
"
            The System should allow a user to stipulate which other users or groups can access cases.
            ",-,-,-,-,other
"
            The System must allow changes to security attributes for groups or users (such as access rights, security level, privileges, password allocation and management) to be made only by super-user.
            ",super-user,-,-,-,-
"
            If a user performs a quick or advanced search, the System must never include in the search result list any record which the user does not have the right to access.
            ",advanced,-,-,never,-
"
            The System must employ a single set of user interface rules, or a small number of sets to provide a familiar and common look and feel for the application.
           ",feel*small,-,-,-,-
"
            The System must be able to display several entities (cases, suspects) simultaneously.
           ",-,-,several,-,-
"
           The System user interface must be suitable for users with special needs; that is, compatible with specialist software that may be used and with appropriate interface guidelines
           ",suitable,-,-,-,that
"
           The System must provide End User and Administrator functions which are easy to use and intuitive throughout.
           ",easy,-,-,-,-
"
            The System must allow persistent defaults for data entry where desirable. These defaults should include:
            ",desirable,-,-,-,-
"
           Frequently-executed System transactions must be designed so that they can be completed with a small number of interactions (e.g. mouse clicks).
           ",small,-,-,-,-
"
           Where the System employs a graphical user interface, it must allow users to customise it. Customisation should include, but need not be limited to the following changes:
           ",-,-,limited,not,-
"
            The user interfaces should be designed to make them user-intuitive.
           ",user-intuitive.,-,-,-,-
"
            The user interfaces of the system should comply with Standard ISO 9241.
           ",-,-,-,-,-
"
              Providing text equivalents for non-text media objects: All non-text media objects, such as graphical images or video, should be provided with alternative equivalent textual descriptions and/or with equivalent text-based functionality.
           ",equivalents*alternative,-,-,-,-
"
            Offering alternative access paths: Alternative access paths for navigating to a specific unit of content should be offered to support different navigation strategies.
           ",alternative*unit,-,-,-,-
"
           Minimizing user errors: Potential user errors as well as the effort needed to recover from errors should be minimized.
           ",Potential,-,Minimizing,-,-
"
           Making text resizable by the user: Text should be able to be resized by the user, using functions provided by the user agent or other appropriate means i.e. see ISO 9241-171.
           ",means,-,-,-,other
"
           Text quality: The quality of textual content with respect to spelling and grammar should be sufficient so as not to impede readability.
           ",readability*quality,-,sufficient,not,-
"
           Supporting text skimming: Fast skimming of text should be supported by the provision of clear links, bulleted lists, highlighted keywords, logical headings, and short phrases and sentences.
           ",clear*Fast,-,-,-,-
"
           Readability of text: Text presented on the pages should be readable taking into account the expected display characteristics and spatial arrangement. ISO 9241-303 shall be consulted for screen text legibility requirements.
           ",Readability*readable*legibility,-,-,-,-
"
           Distinguishable within-page links: Within-page links should be clearly distinguishable from other links that lead to a different page. EX. Within-page links are shown with dashed rather than solid underlines
           ",-,clearly,-,-,other
"
           Avoiding link overload: Text pages containing large proportions of links should be formatted so that the presence of links does not impede the readability of the text.
           ",readability*overload,-,-,not,-
"
           Marking links opening new windows: Links that open new browser windows or pop-up windows should be clearly marked.
           ",new,clearly,-,-,-
"
           Making individualization and adaptation evident: It should be made evident to the user when individualization and/or adaptation are used.
           ",adaptation*evident,-,-,-,-
"
            The System must be available to users:
            ",-,-,-,-,-
"
           Unplanned downtime for the System must not exceed <xx hours/minutes> per <rolling three month period>.
           ",-,-,-,-,-
"
           The System must provide adequate response times for commonly performed functions under both standard and peak conditions
           ",adequate,commonly,-,-,-
"
           The System be scaleable and must not have any features which would preclude use in small or large police stations, with varying numbers of cases handled.
           ",small*large,-,-,not,-
"
                The system should be designed in manner that operational data is not lost in case of any
                failure of equipment or communication network.
            ",case,-,-,-,-
"
             The system should work even in an offline mode with the critical functionality
            ",critical,-,-,-,-
"
            The system should be designed to have satisfactory performance even in Police Stations
                connected on low-bandwidth
            ",satisfactory,-,-,-,-
"
            The system should be implemented using Service Oriented Architecture (SOA) and have a
                modular design
            ",-,-,-,-,-
"
            The system should be built on a common User Access and Authentication Service to
                ensure Single-Sign on for the end-user
            ",Authentication,-,-,-,-
"
             The system should be developed to be deployed in a 3-tier datacenter architecture
            ",-,-,-,-,-
"
                The system should be designed to have a n-tier architecture with the presentation logic
                separated from the business logic that is again separated from the data-access logic
            ",-,-,-,-,-
"
                The system should be extensible to provide access to the interfaces through PDA’s and
                mobile data terminals
            ",-,-,-,-,-
"
             The system should adopt standardized formats and common metadata elements
            ",standardized,-,-,-,-
"
                The system should be designed for access through browser-based systems and must
                impose minimal requirements on the client device
            ",-,minimal,-,-,-
"
             The system must support multiple types of communication services for remote access
            ",-,-,multiple,-,-
"
            The system should have capability to support public access to a subset of data and
                functionality
            ",-,-,-,-,-
"             The system should support multi-tier authentication where required
            ",-,-,required,-,-
"
             The system should support SSL encrypted connections
            ",-,-,-,-,-
"
             The system should support secure virtual private network connections
            ",-,-,-,-,-
"
            The system should run on multiple browsers
            ",-,-,multiple,-,-
"
            The system should support selective encryption of the stored data
            ",-,-,-,-,-
"
            The system should ensure secure transmission of data over the network and utilize SSL and 2-way digital signatures
            ",-,-,-,-,-
"
            The system should ensure high standards of security and access control through:
            ",high*standards,-,-,-,-
"
            The system should ensure high scalability and performance through:
            ",high,-,-,-,-
"
										2.2.1     This section describes the generic voice telephony services which are to be supported 
by the EIRENE network: (M) 
					",section,-,-,-,-
"
					2.2.3     The system shall support point-to-point voice calls between any two call parties. (M) 
				",-,-,-,-,-
"
					2.2.4     Such point-to-point calls shall allow both parties to talk simultaneously. (M) 
Public emergency voice calls   
				",emergency,-,-,-,-
"
					2.2.5     The system shall allow a user to make public emergency point-to-point voice calls. (M) 
				",emergency,-,-,-,-
"
					2.2.6     Such emergency calls include 112 calls and may not be used for railway emergencies. 
(I) 
Broadcast voice calls   
				",emergency,-,-,not,-
"
					2.2.7     The system shall support broadcast voice calls. (M) 
				",-,-,-,-,-
"
					2.2.8     Broadcast voice calls provide one-way voice communications from a single user to 
multiple users in a pre-defined local area, all of whom are members of the same call 
group. (I) 
				",same,-,multiple,-,-
"					2.2.9     The composition of call groups shall be able to be modified within the network. A single user shall be able to be a member of one or more call groups. (M) 
				",-,-,more,-,-
"
					2.2.10     The local area over which broadcast calls shall be implemented shall be able to be 
modified within the network. (M) 
				",-,-,-,-,-
"
					2.2.13     Group voice calls provide voice communications between a number of users in a pre-
defined local area, all of whom are members of the same call group. (I) 
				",same,-,-,-,-
"
					2.2.15     The local area over which group calls are implemented shall be able to be modified 
within the network. (M) 
				",-,-,-,-,-
"
					2.3.4     If the text message facility is implemented, it shall not interfere with the ability of users 
to make or receive high priority voice or data calls. (M) 
General data applications   
				",-,-,-,not,-
"
										2.3.5     Support  is  required  for  a  range  of  data  communications  between  the  ground  and 
mobile users. Such applications may include: (I) 
					",support,-,include,-,-
"
					2.3.6     The network shall support point-to-point data communications. (M) 
				",-,-,-,-,-
"
					2.3.8     The network shall support data rates of at least 2.4 kbit/s. (M) 
				",-,atleast,-,-,-
"
					2.3.9     Higher data rates will be required by some data applications in order to provide the 
necessary performance and acceptable transmission times. (I) 
				",necessary,some,-,-,-
"
					2.3.10     The  priority  scheme  for  calls  described  in  section  10.2  is  also  valid  for  data 
applications. (I) 
Automatic fax 
				",-,-,-,-,-
"
					2.3.11     The network should support fax transmissions between the ground and mobile users. 
(O) 
				",-,-,-,-,-
"
					2.3.12     Where fax functionality is provided, it shall be possible to interrupt the fax to make or 
receive a high priority voice or data call. (M) 
Train control applications 
				",high,-,-,-,-
"
					2.3.15     Communications  for  train  control  may  be  characterised  as  low  data  rate  per  train; 
however, in some areas there will be a high density of trains requiring simultaneous 
communications. (I) 
				",low,-,-,-,-
"
										2.4.1     The EIRENE network will support the following call related services: 
					",-,-,-,-,-
"
					2.4.4     It should be possible for the network to prevent the identity of certain users from being 
displayed on the mobile, either when being called, calling or both. (O) 
Priority and pre-emption   
				",certain,-,-,-,-
"
					2.4.8     The  group  of  users  who  may  access  the  facilities  of  the  EIRENE  network  shall  be 
limited. (M) 
				",-,-,-,-,-
"
					2.4.10     It shall be possible for an incoming call or data message for one user to be forwarded to 
another user using functionality provided by the network. (M) 
				",-,-,-,-,another
"
					2.4.11     In the case of voice calls, it shall be possible for the user who is attempting to forward a 
call to converse with the intended recipient prior to forwarding. (M) 
				",intended,-,-,-,-
"
					2.4.14     It shall be possible for the user to re-join the call which is on hold at any time. (M) 
Call waiting   
				",-,-,-,-,-
"
					3.2.1     For network planning, the coverage level is defined in terms of time and area where 
the minimum signal criteria are achieved. (I)  
				",-,minimum,-,-,-
"
					3.2.2     The level of coverage should be at least 95% of the time over 95% of the designated 
coverage area for a radio installed in a vehicle with an external antenna. (O) 
				",external,atleast,-,-,-
"
					3.2.3     The network shall support all EIRENE-compliant mobiles. (M) 
				",-,-,-,-,-
"
					3.2.4     The land-based part of the system shall provide communications for mobiles when 
stationary and when travelling at speeds up to the maximum allowable line speed or 
				",-,maximum,-,-,-
"
					3.3.3     Network  interconnection  is  subject  to  a  bilateral  agreement  between  network 
operators.  The  interconnection  between  the  networks  must,  as  a  minimum,  be 
compliant with applicable open specifications. (I) 
				",-,minimum,-,-,-
"
					3.3.4     During the process of moving from one GSM-R network to another, the system must 
minimise the inconvenience to the user. (I) 
				",inconvenience,-,-,-,another
"
					3.4.1     Call set-up time requirements are dependent mainly upon priority (see section 10.2). (I) 
				",priority,-,-,-,-
"
					3.4.4     Set-up times shall include the time required for any translation of functional numbers 
internal to the EIRENE network. (M) 
				",internal,-,required,-,-
"
					3.5.4     The definition of each broadcast or group call area should take into account factors 
such as the speed of trains on the line (stopping distance) and the operational control 
areas. (O) 
				",stoppingdistance*control*area,-,-,-,-
"
					3.5.5     It is acceptable that mobiles which move out of the call area during the call be dropped 
from the call. (I) 
				",-,-,-,-,which
"
					4.1.4     Mobile equipment shall function correctly when travelling at speeds from 0 km/h to 
				",-,correctly,-,-,-
"
					4.3.3     In normal operation of a mobile radio unit, it is expected that a combination of the 
above environmental conditions will be experienced. (I) 
				",normal,-,-,-,-
"
					4.3.6     Any pressure pulses caused by vehicles passing, entering or leaving tunnels shall not 
affect the normal operation of EIRENE mobile equipment. (M) 
Physical conditions   
				",normal,-,-,-,-
"
										4.3.7     The design of EIRENE mobiles shall comply with the relevant European Norms for 
protection against physical hazards, eg: (M) 
					",-,-,-,-,-
"
					4.3.9     The  batteries  to  be  used  in  the  mobile  equipment  shall  have  sufficient  capacity  to 
support typical railway use. (M) 
Electromagnetic Compatibility   
				",sufficient,-,-,-,-
"
					5.1.1     This section identifies the functional requirements for the EIRENE Cab radio. It covers 
the functionality provided by the Cab radio, driver MMI and support to other on-train 
systems. (I) 
				",-,-,-,-,other
"
					5.2.2i   Once a call has been established the connected parties shall be able to communicate. 
(M) 5.2.2iv  A Push-To-Talk function shall be provided for use during group calls. (M) 
					",-,-,-,-,-
"
					5.2.2ii   Picking up the handset shall transfer the communication to the handset and reduce the 
loudspeaker volume to its minimum level. (M) 
					",-,-,minimum,-,-
"
						5.2.2iv   A Push-To-Talk function shall be provided for use during group calls. (M) 
					",-,-,-,-,-
"5.2.2v   The  use  of  Push-To-Talk  for  all  types  of  communications  is  acceptable  if  needed  for 
ergonomic reasons or to avoid the noise of the cab being transmitted to the other party. 
(I) 
					",-,-,-,-,other
"
						5.2.2.3     Once an appropriate destination has been obtained, the radio shall attempt to establish 
a call to this destination. The functional identity shall be displayed to the controller. 
(M) 
					",appropropriate,-,-,-,-
"
						5.2.2.4     An  audible  and  visual  indication  shall  be  provided  to  the  driver  that  the  call  is 
proceeding. (M) 
					",-,-,indication,-,-
"
						5.2.2.6     The functional identity of the connected party, if available, shall be displayed to the 
driver. (M) 
					",-,-,-,-,-
"
						5.2.2.9     It shall be possible for a driver to initiate and participate in group voice calls between 
drivers in a pre-defined geographical area. (M) 
					",pre-defined,-,-,-,-
"
						5.2.2.10 A driver shall be able to initiate the establishment of a call to other drivers with a    
minimum of action (eg a single keystroke). (M) 
					",-,minimum,-,-,-
"
						5.2.2.12 An  audible  and  visual  indication  shall  be  provided  to  the  driver  that  the  call  is    
proceeding. (M) 
					",-,-,indication,-,-
"
						5.2.2.17 If the system is not able to connect the call, an audible and visual indication shall be    
provided to the driver. (M) 
Send Railway emergency call  
					",-,-,indication,-,-
"
						5.2.2.18 It shall be possible for a driver to initiate Railway emergency calls (see section 13). (M)    
					",-,-,-,-,-
"
						5.2.2.24 Once the call is terminated, the continuous visual alarm indication in the cab shall    
cease. (M) 
					",-,-,indication,-,-
"
						5.2.2.25 If the system is not able to connect the call, an audible and visual indication shall be    
provided to the driver. (M) 
Communicate with other drivers on same train 
					",-,-,indication,-,-
"
						5.2.2.27 The call will be established from the active cab of the lead traction vehicle. (I)    
					",-,-,-,-,-
"
						5.2.2.28 Whilst on-going, a multi-drivers indication shall be displayed permanently at all Cab    
radios. (M) 
					",-,-,indication,-,-
"
						5.2.2.30 At any time during the call, the lead driver shall be able to remove a member of the    
group. (M) 
					",-,-,-,-,-
"
						5.2.2.32 If a driver is disconnected from the multi-driver call, a clear indication shall be given.    
(M) 
					",clear,-,indication,-,-
"
						5.2.2.33 The  setting  up  and  closing  down  of  a  multi-driver  call  shall  be  simplified  using    
automation or guidance through the steps required. (M) 
					",steps,-,simplified,-,-
"
						5.2.2.35 If any part of the call fails, an audible and visual indication shall be provided in the    
appropriate cab. (M) 
					",part,-,indication,-,-
"
						5.2.2.38 It shall be possible for the driver to contact members of on-board train staff using a    
point-to-point voice call. (M) 
					",-,-,-,-,-
"
												5.2.2.39 Upon activation of this function, the Cab radio shall provide the driver with a list of    
generic staff, eg: (M) 
						",-,-,-,-,This
"
						5.2.2.40 The driver shall then be prompted to select the train staff with which he wishes to    
communicate. (M) 
					",-,-,-,-,which
"
						5.2.2.43 An audible and visual indication of an incoming call shall be provided. (M)    
					",-,-,indication,-,-
"
						5.2.2.44 The functional identity (which may contain an alphanumeric description) of the calling    
party, when available, shall be displayed. (M) 
					",available,-,-,-,-
"
						5.2.2.47 An audible and visual indication of the incoming call shall be provided when a Cab    
radio receives a group or broadcast call. (M)  
					",-,-,indication,-,-
"
						5.2.2.48 The group identity of the voice group call (VBS or VGCS) shall be displayed. (M)    
					",-,-,-,-,-
"
						5.2.2.50 The  driver  shall  be  informed  if  a  broadcast  call  is  ongoing  by  a  visual  indication    
displayed on the MMI. (M) 
					",-,-,indication,-,-
"
						5.2.2.50i  It is not possible for the driver to speak as part of the call when receiving a broadcast 
call. (I) 
					",part,-,possible,not,-
"
						5.2.2.52 During a group call, a visual indication shall be displayed on the drivers MMI to    
remind the driver of the need to use the PTT button. (M) 
					",-,-,indication,-,-
"
						5.2.2.53 The driver can not speak in a group call until permission is granted by the network    
after pushing the PTT button. (I) 
					",-,-,-,not,-
"
						5.2.2.56 Reception of this call proceeds as for a standard group or broadcast call, except that a    
distinctive audible and visual indication shall be provided in the cab. (M) 
					",distinctive,-,indication,-,This
"
						5.2.2.58 An  automatic  confirmation  shall  be  generated  by  the  Cab  radio  at  the  end  of  the    
Railway emergency call as detailed in section 13. (M) 
					",automatic,end,-,-,-
"
						5.2.2.59 Automatic confirmation of receipt of Railway emergency calls will be used to provide a    
means  of  determining  which  trains  have  received  a  Railway  emergency  call  (see 
section 13). (I) 
Terminate calls 
					",Automatic*means,-,-,-,-
"
						5.2.2.61 For group or broadcast calls, a means to leave the call without terminating the call shall    
be provided. (M) 
Receive text messages 
					",means,-,-,-,-
"
						5.2.2.62 The Cab radio system shall be able to receive incoming text messages (see section 12    
for details). (M) 
Enter/leave shunting mode 
					",-,-,detail,-,-
"
						5.2.2.64 A means to enter and leave shunting mode shall be provided. (M)    
					",means,-,-,-,-
"
						5.2.2.65 The functionality to enter and leave shunting mode shall not be available when there    
are on-going calls involving the Cab radio. (M) 
					",-,-,-,not,-
"
						5.2.2.66 The link assurance tone shall be provided via the loudspeaker. (M)    
					",-,-,-,-,-
"
						5.2.2.69 If  direct  mode  is  implemented,  a  means  to  enter  and  leave  direct  mode  shall  be    
provided. (M) 
					",means,-,-,-,-
"
						5.2.2.73 For voice communications, if the driver picks up the handset, the radio shall allow him    
to join the communication. (M) 
					",-,-,-,-,-
"
						5.2.2.74 The  driver  shall  be  able  to  terminate  communications  (voice  or  data)  by  selecting    
another call. (M) 
Forward calls to driver handheld 
					",-,-,-,-,another
"
												5.2.3.1     Powering up the Cab radio will initiate the following: 
						",-,-,-,-,-
"
						5.2.3.5     The  MMI  on/off  control  shall  be  designed  to  prevent  accidental  activation/ 
deactivation. (M) 
					",accidental,-,-,-,-
"
												5.2.3.9     Switch off shall be soft so that the Cab radio completes the following housekeeping 
functions before actually switching off: (M) 
						",-,actually,-,-,-
"
						5.2.3.10 As far as possible, the above procedure should also apply on power failure. (O)    
					",-,-,possible,-,-
"
												5.2.3.11 When switched off, the following functions (if available) shall still be provided: (M)    
						",-,-,-,-,-
"
						5.2.3.12 It shall be possible to present radio related prompts and information in a number of    
different languages. (M)  
					",related,-,different,-,-
